Q9C0B1
O60266
P23560
P48546
Q96JE7
Q9NRF2
O14983
Q92481
Q8WWM7
Q9Y2G0
P50226
P84550
P04035
Q13286
A6NHY2
Q9H5N1
Q9UBT6
Q9NZQ0
Q86VX9
Q0VD83
P78332
Q8NCB2
Q9BWQ8
P52756
Q04912
P49411
Q96H72
P41161
Q6BDS2
Q5U4P2
Q8WZ19
Q13275
O15016
Q5U5Z8
P09234
Q9NXS2
Q96A23
Q9UL54
Q8NEV9
Q12769
Q8N3X1
Q5VU57
Q9H2V7
Q9UJ68
Q13163
Q9UPQ9
Q8N3J6
Q5XPI4
O15118
Q9UPT8
P55197
Q8NA72
Q9P2D8
P04075
P17980
Q92551
P17947
P58400
Q9ULB1
Q9HCH0
P60510
Q7Z3B1
Q9ULK0
Q8WXX7
P26378
P29536
P02649
O15090
P50225
Q9Y6K1
Q8N122
Q7L5L3
Q96P70
Q6UUV9
Q9NQB0
O14649
P32245
Q5GH73
Q76B58
Q96JK9
Q9BWF2
O15015
Q9H7Z6
Q14669
Q9BXB1
O95947
Q7L985
Q8NBZ0
O60503
P78563
O60663
Q6TFL3
O00308
Q9UF56
Q6UWP2
Q9UHF7
Q15788
Q9BYT3
Q96LD1
Q6PJ61
Q14183
Q9HDB5
Q9Y4C0
Q9Y6K8
Q15700
Q14168
Q9H3C7
Q4VC05
Q2M3C7
Q9BU64
Q9NZI8
Q86XT9
Q8N7Z5
Q9UGC6
Q53GQ0
O60245
Q9Y4C4
P15391
Q9BQB6
Q8N0W5
Q96DD7
P78347
Q14896
P43694
Q05193
P55318
Q8IZP7
Q9UPA5
Q96K58
Q7Z6G8
O43524
Q6ZMN7
O43561
O00327
A6H8M9
Q8NEA4
Q9C0K1
P15822
Q6IN84
Q92784
Q9ULU8
Q9Y6A9
Q13702
P30988
Q14982
P17542
P61266
Q969W9
Q8WVM7
Q07343
P19827
Q9BY67
Q8NCF5
P01189
P08F94
Q8N3Z6
Q9NUP9
Q92625
Q15911
P49789
P08069
Q14206
Q15649
Q9BVP2
Q9HBK9
Q13114
O75489
Q9ULH4
Q9NY59
Q9P203
Q6NUK4
P41226
P05166
Q9H2T7
P30622
Q9Y2L8
Q9BY11
Q8IWN7
Q9UQB8
Q86U86
Q9H8M5
O95365
Q99624
Q9NTI5
Q86UL8
Q9NZR2
Q15111
P51451
Q96PZ7
Q7Z5W3
Q8TF65
Q8NFY4
P35398
Q12846
P48634
Q13936
Q9P121
Q6ZSK4
Q6ZN30
Q6PCB6
P81877
O95989
Q92879
Q96KC8
Q8NF64
Q9UJV8
Q52WX2
Q9BXJ3
Q86WV1
Q96RK4
Q9P109
P36888
Q8IZM8
Q9H4A3
Q9UHJ3
P24666
Q5TC82
Q8NDZ6
P15407
P78509
Q16620
Q59H18
P11488
Q68CQ7
Q08629
Q8N960
P58401
Q9P2S2
P05093
Q9Y2I2
Q6PCT2
Q494R0
O60437
Q9NZH0
Q9HC78
A6NNW6
Q13043
P26927
O14874
Q12830
P20701
Q8IVN3
P27361
P24864
Q1L5Z9
Q49A17
Q96BK5
Q9HCK4
P07225
Q01668
O15169
Q9NXF1
Q8IY22
Q9UPN3
O94854
Q16651
Q15477
Q86US8
P78424
Q15849
O60307
P37268
Q92797
Q9P299
Q9H0K4
P19087
Q9BXK1
Q9GZT4
Q8NB59
O15047
P55290
P62873
Q5FWF6
Q8N9W6
Q8N539
Q96BU1
O75582
O95544
P01008
A8CG34
Q9NT68
Q17RY0
P46379
Q9P206
Q99742
P61236
Q7L4P6
Q9NQC1
Q86UN2
Q14814
P51957
Q53QZ3
Q7LFL8
Q9NRR5
Q9GZV4
Q06413
Q9Y5W9
Q9NPG3
Q06190
Q8WW38
Q96DH6
Q9Y3Q4
P26232
Q8NDV7
Q9HB71
O00194
Q5VV42
Q02548
P78552
Q5VZ66
O00459
Q1ED39
Q96AX9
Q8N1G1
P13798
Q9H857
P31146
Q07092
P56545
P49902
Q9Y6C9
Q9HCF6
P06681
O96008
P21860
P17096
Q8N309
Q96S37
Q9BWW4
Q7Z2R9
Q8WY36
P50748
P52803
P20702
Q1ZZU3
Q96QP1
Q9BRR6
O43679
Q13451
Q9NY15
P31629
Q14494
Q9UJ99
O60341
Q12965
Q96H55
P36507
Q08493
Q96HL8
Q6DWJ6
P45973
Q14118
Q9BZJ8
P10826
Q92664
P10721
Q96IZ7
Q96SF7
Q14997
Q9Y6N7
P06307
Q5R372
B7ZAP0
P08754
Q96B42
P35711
Q16611
Q96Q83
Q9HAK2
Q9Y6Y1
P23468
Q9H270
A2RRP1
Q9NQ11
Q8N841
Q9NUU7
Q9NXJ5
P61586
Q6NZY4
Q9Y243
Q96DR7
Q76I76
Q68CZ1
Q96KS9
Q96KT0
P43351
Q15303
Q9Y6M1
Q96M15
Q5VWP3
Q7Z624
Q9UFW8
P18615
Q6GMV3
Q99941
P17480
Q06547
Q8TAK5
Q9UKA9
Q15777
Q9H5H4
O75354
Q9BT81
Q52LD8
Q14624
Q8TEH3
Q8WXD2
P43308
Q9P2R6
P22105
Q14573
P02654
Q8WUZ0
Q9BZZ5
O94916
Q14541
A4FU69
P34931
Q9HCI7
Q9Y4B4
O43427
Q8IXF0
Q86XE0
P49736
Q9UK58
Q8IV48
Q9UMR5
Q15652
P10809
Q99466
P83916
Q96NJ5
Q8N2Q7
Q9C0F0
Q8N3C0
Q8IWV8
Q9NRR8
Q8N720
Q3SXY8
Q96B02
P56202
P37231
Q8WXG6
Q2L4Q9
P27448
Q96QG7
Q9UKM9
Q9C0K0
Q8TEW0
Q5TC79
O95271
Q14135
O95363
O75751
Q9H900
O75159
A6NIY4
Q6UXD5
Q8NEY1
Q86XI6
Q8IZD9
P20042
Q8IY84
Q8N3J9
Q96DT7
P62316
Q9Y2T2
P78549
Q16515
Q9NTK5
P48728
Q8TBJ4
Q9NRE2
P11168
P25686
Q14654
Q9H2U1
Q13362
Q96PV0
O95967
Q07960
Q12882
Q9ULB5
Q15283
Q14C86
Q96KG9
O75376
P36578
P81133
Q9Y575
Q9NWB1
Q6ZMZ0
Q8TD86
Q8N807
Q9UJP4
Q9HC98
Q15276
Q96AE7
Q13310
Q9UMX1
Q9UH73
Q9UBL0
Q9UJX5
Q86V48
Q86TC9
A8MY62
Q9Y6E0
Q92956
Q96AA3
Q9NWF4
Q99759
Q96JB6
Q9BTM9
P31645
Q6NXG1
Q6ZRS2
Q02750
P49842
Q9H0G5
P09327
Q9BWS9
Q9H2F3
O00291
Q16584
Q9Y3E7
Q14764
P43146
Q8NEB9
Q7Z465
O60242
P46783
Q53SF7
P27816
Q16849
Q86T82
Q9BXU9
P61966
O75094
O95196
Q96AB6
P24385
Q92569
Q5T1A1
O60447
O95073
Q96F24
O14807
Q712K3
O75151
Q16821
Q9H2K0
Q6DN90
Q96NA8
Q9HCJ5
P43220
Q9NVH1
O77932
Q86SE5
P10415
Q8WV16
O43189
Q9UGM6
O00238
Q9BZR9
Q9H0M0
P35367
Q8NFT8
Q9UNZ2
Q9NZU1
Q8N3D4
O75146
O00635
Q9Y6I9
P00751
Q9H3T2
Q13219
Q5QFB9
Q08289
Q9Y333
Q07866
Q9UJ14
Q96SI1
Q9C0C7
O75976
Q9BS26
Q9NWH9
Q8NAU1
O76074
P17509
Q9Y620
A6XGL0
P14621
Q9BTK6
Q14500
Q7L2E3
Q8TBE7
Q9HC62
P52746
Q9HD40
P26367
Q9BXA9
Q86UW8
Q8TEM1
Q12931
Q58FF3
Q96FX7
Q2NL82
Q02297
Q8N4C7
P49815
Q8NDI1
Q96DZ1
Q8N6N6
Q01970
Q9UJQ4
Q9NVM4
P51946
Q8NDY8
Q92802
A2RUH7
Q86YJ7
O14686
Q9Y2X7
Q68D85
Q92932
O14917
Q8N357
Q96HJ3
O75840
Q9UPS8
P12277
Q9BQ69
Q9P0J0
P54803
Q16799
O75534
P16333
Q96TA2
Q567V2
P62140
O75131
Q86V15
Q6QEF8
Q969E2
Q7Z5L2
O75127
Q14679
Q86YI8
Q14691
Q96HU1
O14817
O14672
A8K0R7
Q99250
Q06033
Q8NBI6
Q9HC56
Q8IUL8
Q96AX1
P13861
O15243
Q86UZ6
O94888
Q5T6F0
Q8NBJ9
Q9P1T7
Q92564
O75475
P22888
Q96LX7
Q6P0Q8
Q8N2W9
O94983
Q9ULW5
Q1XH10
Q99075
O95900
Q13133
Q9Y334
Q9H329
Q96RR4
Q9Y4C8
O15156
Q5T6C5
Q9Y6X0
Q53HC5
P00734
Q92859
Q2NL67
Q9NX94
Q969J2
Q53HC0
Q9HB96
O95373
Q96CW6
P55268
P11047
Q96NB2
Q12809
Q0VD86
Q8TCU5
Q9NSB8
Q92543
Q8NC56
Q6ZS30
Q96NS5
Q495Z4
P52739
Q5T6F2
Q9NQ79
Q9NVS9
O95249
Q9NYZ2
P78368
Q8NCQ2
O15535
Q8NI77
P35372
Q9C0K0
Q92963
Q5RHP9
P20936
Q19AV6
Q9H8M1
O15021
Q9Y297
Q08378
P40425
Q30KP8
Q9UBE0
Q86UX6
Q9HC44
Q86SQ7
Q9UBP5
Q8IWI9
O43451
Q9UPT6
P19021
O75592
Q9GZN7
Q6ZMQ8
Q86WK6
Q92576
Q8WUJ0
Q86Y37
Q8N2K0
O95865
Q8IWZ8
Q6P9F0
Q03181
Q08AM6
Q9HAU0
Q9UKE5
Q02318
Q15544
Q99594
Q9UIK5
P08397
Q92953
Q9UK28
P28066
Q96LD4
Q92747
Q92466
P05387
Q96DB5
Q16394
P55081
B1AL88
Q7Z408
Q14D04
Q9UKI9
P07203
O75385
Q7KYR7
Q5IJ48
O60356
O15327
O15405
Q09472
Q5JSQ8
Q5SQ64
Q04844
O75145
Q14123
Q9Y5R4
Q16828
Q9BRC7
Q2TAL8
Q92922
Q16612
Q6PCB5
O75533
A1L020
Q8TF46
P12872
P0DMT0
Q15109
O94901
P49746
Q99523
Q86XR5
Q49A26
Q9H172
Q13015
Q7Z6Z7
Q7Z6R9
P57682
Q8IXK0
Q8IX03
Q9Y520
P0CG13
Q68DC2
Q13084
Q8TCC3
Q16630
P20711
Q8NFD2
Q14008
Q15772
Q7Z6L0
Q92536
O14594
A6NGN9
Q9NR28
P80303
Q6UXT9
Q8N428
P11216
Q86UV7
Q9NZR1
Q8IVS8
Q99684
Q9Y2K3
O94973
Q70EK8
Q14289
Q06495
O00624
Q3B7S5
P21127
Q8WYN3
Q96KQ7
Q8N3J5
Q9UDY4
O00476
P61020
Q9Y2C4
Q9BRT2
Q96JS3
O14593
Q16644
P55008
O75971
O95800
P68402
Q6NUI6
O95456
P30101
Q15599
P04637
Q14686
Q99943
O43542
O95639
Q7Z7B1
Q9UGU0
Q08499
P51826
O95872
P01303
Q16649
Q9Y2K2
Q7Z6E9
Q17RD7
Q8TCP9
A6BM72
Q9HB65
P55263
Q99944
P52292
Q9UL15
P55060
Q96LT4
Q9NR48
Q13972
O15075
Q8N9H8
Q7L4I2
O75038
Q9UQC2
P29320
Q92837
Q9BVW5
O60783
Q9UHY8
Q9UIJ5
Q15560
P08697
Q5HYL7
P29474
P60323
P30307
Q12778
Q9H967
Q15147
Q8TEB9
P84074
Q6UW02
A2RUC4
Q86UA6
O75110
Q9H9H4
P57735
Q5VXT5
B2RTY4
Q9H488
Q9Y4C1
Q5H9R7
Q9Y2G4
P57738
P12955
Q04637
Q9UBL6
P30566
Q15554
Q92854
P55001
Q16670
Q9H2F9
Q7KZF4
Q9HBX3
A6NJ78
Q71RG4
Q9P2H5
Q13123
Q01995
P49590
Q8TEA8
Q9NQC3
Q9H165
Q9C0D0
Q9NUQ6
P13929
Q9Y3A3
Q9BSH3
P35236
P28221
Q13505
Q6U7Q0
O14645
P09067
Q8TDW7
Q8N8Q1
Q96RP8
Q9BZV1
Q9UBT7
A6NC98
Q8WW62
P15559
Q9UPG8
O00187
Q96NC0
O75912
Q8TES7
P05106
Q8N6K0
Q99578
P27487
Q8WUK0
P11117
P61371
Q99567
Q9Y2C5
P55082
Q07021
Q9ULC3
P14651
Q24JQ0
Q9H334
O94850
Q9BYZ2
Q86VS3
Q9H869
Q4QY38
Q13519
O43653
Q96LD8
Q8TDJ6
P0C869
O95376
Q9BT88
O43286
Q6UXN9
Q6MZT1
P14618
Q92974
Q7Z5Y6
O95870
Q9UPQ3
Q9NQ66
Q14916
P62834
Q8N475
Q3T8J9
P12104
P36956
P11474
Q8TC44
O15143
Q9NYQ7
Q6IBS0
P20827
Q9BZW5
O94813
Q13454
Q5TBK1
Q04724
Q9NRY5
O75096
P54619
Q92570
Q08209
P21359
P29558
Q8IVD9
Q96GW9
O43196
Q13148
Q7Z4L0
