Q9NQ76
A6NNA5
Q9H6B4
Q9UNG2
P24394
O96013
Q15041
Q9H074
Q9Y696
O43687
O95816
O75521
Q9BX74
Q96G28
P61086
P62316
P23468
P35712
P15428
Q96CM8
Q9H3U7
Q5T1H1
Q14194
P42331
O43464
Q719H9
Q99828
Q5VZV1
Q9UBV4
P41236
Q9Y6Z7
Q8NEB9
P14314
Q92520
P07911
P55210
Q9UK32
O00629
Q9UPQ9
P16930
P27448
Q13228
Q86UE6
Q01581
Q86XI6
Q86XR7
Q9Y2Z9
O95897
O15347
Q07960
Q96PE7
Q9UBN7
Q02083
P26715
Q8TCS8
Q13526
Q9Y2I2
Q504Y2
P29144
P17081
O14530
Q9NS98
P50461
P54108
P05060
P21912
P55001
O14994
Q53HC0
Q92608
O43248
P0C7M8
O60763
O15173
P41226
Q14494
P45877
P61981
O60504
P53667
Q86W54
Q02297
Q13427
Q16890
Q96FE5
Q9NQ60
Q9UHV8
P53567
Q86XP6
O75096
Q96E17
Q9H819
A8MVW0
Q8N7P1
P18084
Q96T60
O94782
Q9Y3A3
Q96BW5
Q96EQ0
Q8N6T3
Q9BXB1
Q9BUD6
Q92854
Q9Y6H5
Q08050
Q92993
P28065
P05412
Q9NPI8
O43251
Q9Y680
Q9HCJ2
Q9Y5W9
Q1W4C9
Q9NW38
O60662
Q9UGN4
P23352
O60496
A6NGB7
P36639
Q7L0X0
Q8IUC4
Q5TDP6
Q9UJZ1
Q8N427
Q96FV9
P19878
Q96SM3
P27707
Q9P2X3
P50440
P01215
Q9H9A7
P30837
Q9BSV6
Q92772
P61077
Q9UQ52
Q86UL8
Q86VK4
O94992
O75871
P28070
P05160
Q9BZL1
Q96GG9
Q9H9R9
O75569
O75882
P46109
P62380
P63010
P68106
P23368
Q96BN2
Q9UKS6
P54578
P83916
Q969Q4
Q8NBI6
P56704
P21695
Q13137
Q8N1G2
P0DJI8
Q8TF42
Q8TBC4
Q16620
Q16186
P05155
Q9BZ29
O60551
Q8N5K1
Q92576
P20618
O15394
P51911
P62263
O43679
O15075
Q9H777
P49789
P04843
Q8NBM8
Q4VC05
Q5XLA6
P00995
P43026
Q92186
Q9H2X0
P55199
P56962
Q7Z6M1
Q68G75
O00182
Q9BRJ7
Q8N9A8
Q14118
Q8TD30
P25788
P53999
Q01064
Q13451
Q13145
P18846
Q9UKI8
Q96L46
O00141
Q969T4
Q06033
Q9Y287
O95168
Q9H4G0
Q8TED9
Q8TBN0
P35243
Q9BXP8
P62913
P61978
Q6UWE3
P16234
P05000
Q9NSI8
Q13018
Q15165
O15455
Q9P0K1
O43432
Q9H8S9
Q9NS37
Q7L9L4
O14543
Q9P2A4
P07988
Q7Z5L3
Q16819
Q7Z5B4
P37108
P30740
O95396
Q8IUK8
O75771
Q9BUB5
P08217
Q92743
O00161
P48058
Q92551
Q92560
O75460
Q9NRA1
Q9UBB4
Q9UMX1
O00264
Q6FHJ7
O00151
A6NKN8
Q9NXV2
Q07687
Q86Z14
O14519
Q8N998
P56377
Q6E0U4
P61586
Q9NTG7
Q71RG4
Q495W5
Q9NZL4
Q01344
P50583
Q15907
Q14498
Q9H4D0
A6NI73
Q8N8N7
O00231
Q06187
Q9NXW2
Q06413
P55036
Q9BVC3
Q9Y320
O14967
Q9GZZ1
Q9BUP3
P08134
P35609
O43916
Q99717
Q13148
A8MVW5
P16083
P16562
Q92506
Q9UN36
P08603
Q15080
O75116
Q9BTZ2
P55290
Q9Y5A7
O75094
Q9NRR1
Q96I24
Q9Y617
