Q9NZQ0
Q04912
P41161
Q8WZ19
P09234
Q9NXS2
Q9UJ68
Q13163
Q9UPQ9
Q8N3J6
P17980
Q92551
P17947
Q9ULB1
P60510
Q9ULK0
P29536
Q9BXB1
Q8NBZ0
O00308
Q6UWP2
Q9Y4C0
Q9Y6K8
Q15700
Q14168
Q4VC05
P78347
Q14896
Q05193
Q8IZP7
O43561
Q6IN84
Q9Y6A9
P61266
Q969W9
P19827
Q9NUP9
P49789
Q14206
Q9HBK9
Q9ULH4
P41226
Q9BY11
Q9UQB8
Q86U86
O95365
Q86UL8
Q96PZ7
Q7Z5W3
Q8TF65
Q8NFY4
Q12846
Q9P121
O95989
Q96KC8
Q9BXJ3
Q9P109
Q9H4A3
P78509
Q16620
Q68CQ7
P58401
Q9Y2I2
P26927
Q12830
P20701
Q8IVN3
P24864
Q8IY22
Q16651
Q15849
P55290
Q8N539
O95544
Q9NT68
P46379
Q86UN2
Q14814
Q9NRR5
Q9GZV4
Q06413
Q9Y5W9
Q06190
Q96DH6
P26232
Q9HB71
O00194
Q5VZ66
P49902
P17096
Q9BRR6
O43679
Q13451
Q9NY15
Q14494
O60341
Q08493
Q14118
Q9Y6N7
P06307
Q5R372
P08754
Q96Q83
P23468
Q9NUU7
Q9NXJ5
P61586
Q9Y243
Q5VWP3
Q9UFW8
P18615
Q6GMV3
Q99941
Q06547
Q15777
O75354
Q14624
Q8WXD2
P43308
P22105
P02654
P34931
O43427
P83916
Q8N2Q7
Q96B02
P27448
O95271
Q14135
O95363
Q9H900
Q86XI6
P20042
Q96DT7
P62316
Q9NTK5
P48728
P25686
Q07960
Q9ULB5
Q9NWB1
Q8N807
Q15276
Q96AE7
Q13310
Q9UMX1
Q9UBL0
Q9Y6E0
Q99759
Q9BTM9
Q6NXG1
Q02750
P09327
Q9BWS9
Q16584
Q9Y3E7
Q14764
P43146
Q8NEB9
O60242
P46783
Q16849
Q9BXU9
O75094
Q96AB6
Q96F24
O14807
Q712K3
Q9H2K0
Q96NA8
P43220
Q9NVH1
Q86SE5
Q9UGM6
Q9H0M0
O75146
P00751
Q9H3T2
Q13219
Q07866
Q96SI1
O75976
Q9BS26
Q9NWH9
O76074
A6XGL0
P14621
Q9BTK6
Q8TBE7
Q9HC62
Q9HD40
Q86UW8
Q02297
P49815
Q8NDI1
Q96DZ1
Q8N6N6
P51946
Q8NDY8
Q92802
O14686
Q68D85
O14917
Q9BQ69
Q16799
O75534
Q96TA2
Q14691
O14672
Q06033
Q8NBI6
Q9HC56
Q8IUL8
P13861
Q5T6F0
O75475
P22888
Q9ULW5
Q99075
Q9Y4C8
Q9Y6X0
Q92859
Q9NX94
Q53HC0
Q9NSB8
Q9NQ79
Q9NVS9
O95249
P78368
P20936
Q19AV6
O15021
Q30KP8
Q8IWI9
P19021
Q9GZN7
Q86WK6
Q92576
Q8WUJ0
Q8N2K0
Q08AM6
Q99594
P08397
Q9UK28
P05387
Q96DB5
P55081
Q7Z408
P07203
Q7KYR7
O15327
O15405
Q5JSQ8
Q16828
Q92922
Q16612
P12872
P49746
Q99523
Q8IX03
P0CG13
Q13084
Q7Z6L0
O14594
A6NGN9
Q9NR28
P80303
Q8N428
P11216
Q9NZR1
O94973
Q14289
Q9UDY4
P61020
Q9Y2C4
P01303
Q7Z6E9
Q9HB65
P55263
Q9UL15
Q9NR48
O15075
P29320
Q9BVW5
O60783
Q15560
Q12778
A2RUC4
Q86UA6
Q9H488
Q04637
Q9UBL6
P30566
Q92854
P55001
Q7KZF4
Q71RG4
Q13123
Q01995
Q8TEA8
Q9H165
P13929
Q9Y3A3
P35236
O14645
Q8N8Q1
Q8N6K0
P27487
Q8WUK0
P11117
P61371
P55082
Q9ULC3
Q9H334
Q13519
Q96LD8
O43286
Q92974
Q9NQ66
Q8N475
P12104
P11474
O15143
Q6IBS0
P20827
O94813
O75096
P29558
Q8IVD9
Q13148
