HOXC4
HOXC5
HOXC6
CCDC170
PPP6R3
GALNT3
MEPE
JAG1
DRGX
TNFRSF11B
STK32C
CACNG1
CLMP
GAB2
TMEM14A
PGS1
LAMP3
HOXC9
TNFSF18
BTBD16
USP35
FASTKD1
CSRNP3
ZNF451
GAK
IL4R
SNURF
PAK4
ARL6
HELZ
PAIP1
BBS5
COL21A1
CLIC4
AKAP7
PLEKHS1
BAG2
SLC13A4
RPS6KA5
CMYA5
MUC13
TTBK2
ECI2
TM2D1
LRP5
CFAP36
UBE2K
ERICH6B
SNRPD1
NBPF3
CROCC
RIMS3
GPATCH1
IGFL1
SEC14L3
UBR1
DGKQ
ZNF287
SLC1A3
PTPRD
STARD9
IQGAP1
KIAA1586
PAK1IP1
SOX6
ZEB1
UQCC1
CCDC34
HPGD
ACSF2
ABLIM2
LMO1
SMOC2
PRDM12
SLC28A2
SLC26A1
EYS
CRMP1
TBX18
GKAP1
ARHGAP25
MAPKAP1
HTRA2
KCTD1
LINGO2
CIB1
METTL21C
KIAA1804
PPP3CC
WNT16
PPP1R2
BCL2L15
TMEM14B
COLEC10
SLX4IP
PIK3C3
MYPN
BARX2
PRKCSH
MRPS21
DAPK2
KLRK1
MLPH
GAPVD1
FAM3C
GRIP1
ABHD3
UMOD
TLR2
IGSF22
CASP7
RPS6KA6
KPNA4
XKR6
ZNF729
TNRC6B
BAZ2B
FAH
CDAN1
MARK3
DNAH17
ODF1
ESCO1
SELENBP1
LRRTM1
HMGCS1
NFIC
SLC23A1
PPP1R3B
ROR1
CKB
ATP13A2
DSN1
DDX41
WDR86
TMEM175
TICAM2
MEFV
SLFN14
COQ6
TTC13
OLFM2
SMYD3
HMGB3
VRK3
ARHGAP1
SNX2
LBH
ZNF408
SMG7
SLC9B1
MS4A7
ZNF98
MCEE
HDAC6
AMMECR1
NAAA
HLA-DQA1
RAD54B
OXA1L
KLRC1
CCR3
SPP2
PNPT1
SIGLEC10
PIN1
LRRN4
KIAA2012
PIK3C2G
NTNG1
MCCC1
IGFL2
HLA-DPA1
IPO9
TTC21B
FICD
DLG1
FMNL2
KTN1
PKDCC
TPP2
RHOQ
TRMT61A
PTPN22
PPP2CA
MATR3
TLR9
STON1
MSANTD1
CEP78
ZYG11B
CNGA3
KPNA3
CYP19A1
IFT80
NR3C1
GTF2A1L
EDA2R
TXNDC9
WLS
AR
CIART
SEMA3G
SLFN5
TRIQK
VRK2
GDPD5
GABRA1
ADNP
CSRP3
CRISP3
LRRC31
KLK1
SBNO1
CHGB
LRRIQ4
SDHB
LRRC27
MFAP2
TCIRG1
AP4B1
IRF7
ACVRL1
ANKRD9
GORASP2
ITGA2B
ABTB2
ZNF888
SYN3
CCDC92
TARS2
DACH2
ALDH9A1
LPPR1
NIPA2
ZNF280A
PHTF1
DOCK2
ZNF473
HOXC11
PPM1J
POGZ
UTP23
FSBP
CLEC2L
NDUFAF7
MS4A14
PROB1
RAB11FIP4
PAPSS2
CLPTM1L
ZNF432
MASP2
TMEM9B
CHAD
NOP56
TRIM34
USO1
PGRMC2
UBA7
POC5
REV1
SMIM5
LONRF1
SH3PXD2A
RPF2
NFE2L1
SLC22A18AS
PPIC
YWHAG
NEUROG2
ACSBG1
SORBS3
ZYG11A
LIMK1
SPATA24
CHRM3
SRM
NRG1
GPR6
PPIG
PHF7
FAM155B
MSS51
TPD52L1
ATP6V1B2
KCNH1
SLC35G6
ZBTB41
ASPM
LINGO1
PPP1R12C
EQTN
MCOLN3
VPS16
SLC39A14
LGALS13
ATG13
RPL9
CKAP5
CEBPG
ADCY6
GKN2
DNM3
MRPL23
PEX16
EFNA4
LRP4
CD200
RAPSN
RAB3C
FAM120AOS
IL17A
FAM193B
DNAJC18
SCN2A
FPGT
P2RY2
PRPS1L1
HSPB7
TMEM247
NIPBL
FERMT1
ZNF804B
FSIP2
FAM171A2
CTBP2
DOCK7
DLGAP2
ATP13A3
PPP3CB
PLD5
ZMYM2
EIF5B
SLC38A2
NRAP
SMC4
TMEM126A
CDHR4
ECM1
ZNF207
ITGB5
CLEC19A
PNKP
ABCA10
SBK1
USP1
UBTF
GHR
KCNK9
MOB4
AMT
PTER
SGTB
ARF1
GFI1B
IRS2
MR1
TRIM59
FAM81A
GAL
VIPAS39
KIF13B
FAM81B
LGR4
KDM5A
PTCH1
ATP6V1E2
SPON2
SEMA4D
SNCAIP
PIGA
FOXM1
SDCCAG8
HNRNPH2
KAT5
WDFY1
BSPH1
EHMT1
ACOX2
KSR1
PSMB9
JUN
ZBTB4
GBP3
FANCF
RBFOX2
GTSE1
SACM1L
FKBP7
PLCL1
SRSF11
STARD4
EGFR
ASB16
JRK
LRRC4C
SNX11
F2
SPINK13
FANCL
ADAM20
KLHL41
DCTN3
TRAPPC12
CD300A
WIPF3
ANOS1
RAG2
TRAIP
RHBDL3
ZC3H7A
EPB42
DOK2
P3H3
SUMO1
TMEM176B
UCHL3
DESI2
KRT79
TXNDC12
TMEM221
AHNAK
ZNF664
LRPAP1
NUDT1
INSC
TRIL
POLR2A
PRPF3
HTATSF1
LAS1L
PHOX2B
ZNF268
NINJ2
OR10A7
RHPN2
VNN1
LGSN
STOML2
NME8
WDR89
PRLR
HEY2
THOC1
NCF2
CPXM1
DDX47
DCK
FBXL12
HOXB8
MYCN
MAGI3
RABL2A
KLK15
SLC24A4
ARNTL2
ZNF789
TMEM126B
TMED7
ZNF2
ACVR1B
SDAD1
ARHGAP8
IMPACT
TECPR2
GATM
RASL10B
CGA
AHNAK2
EBF2
TBX2
RMI1
ALDH1B1
TSEN34
RAB44
PEX12
DPM1
CDKL2
UBE2D3
METTL4
RSU1
GPR141
SDHC
CNTN6
BOC
XPO7
TRAPPC2
FHL2
ZGRF1
MAGI2
PHLDB1
PTOV1
NDST2
ZNF410
HPS5
