FTO
ADCY3
BDNF
GIPR
SEC16B
SH2B1
ATP2A1
TFAP2B
ATXN2L
EFR3B
SULT1A2
SKOR1
HMGCR
CLN3
ANKDD1B
RABEP2
POLK
DNAJC27
MON1A
APOBR
RBM6
CAMKV
FAIM2
RBM5
MST1R
TUFM
SLC39A13
ETV5
UHRF1BP1
ASPHD1
KCTD13
SEMA3F
TRIM66
AGBL2
SNRPC
QPCTL
CPNE4
TAOK2
IL27
NUP160
FNBP4
AGBL4
SPNS1
MSRA
MAP2K5
TNRC6B
CADM2
RNF123
NPC1
ZC3H4
MLLT10
POC5
UNC79
ALDOA
PSMC3
IP6K1
SPI1
NRXN1
NCKAP5L
PPP4C
NEGR1
GRID1
AUTS2
ELAVL4
LMOD1
APOE
ZNF536
SULT1A1
DNMT3A
RPTOR
GDPD3
IPO9
CRTC1
TCF7L2
KCNK3
MC4R
XKR6
BRINP3
MAML3
TRAIP
ZNF646
KAT8
TRIP12
LGR4
TBX6
LINGO2
INO80E
ADCY9
ADARB1
LMX1B
CCDC171
WWP2
FBXL17
DHRS11
TRPS1
NCOA1
STK33
SGCZ
FBXO46
DOC2A
NRXN3
AK5
DLG2
GGNBP2
BCL7A
SPHKAP
CENPO
IGF2BP1
TMEM219
ANKRD31
RGS17
HSD17B12
PCDH7
MFHAS1
CD19
VKORC1
IQCK
SHISA4
GTF2I
MYBPC3
GATA4
DNM1
FOXA3
HS6ST3
BSN
ZNF668
ANKS1B
FOXO3
PDZRN4
LAT
ARNTL
CDHR4
FBXO36
SLC39A8
HIVEP1
MRM1
DPF3
CADPS
SPCS1
RAPSN
CALCR
OPCML
TAL1
STX1B
STAG1
PDE4B
ITIH1
CADM1
NFATC2IP
POMC
PKHD1
ZCCHC7
LIN7C
ANKS1A
ZFHX3
FHIT
IGF1R
RCAN2
ZNHIT3
GNL3
AS3MT
TRAF3
NDUFS3
LRFN2
SMPD3
BTBD7
REEP3
UBA7
PCCB
RANBP17
CLIP1
ZKSCAN5
PACSIN1
RP1L1
BAIAP2
PBRM1
CNNM2
ZBTB7A
SLC38A3
PDS5B
MAGI2
LRP1B
PLCL1
BLK
CSMD1
BCDIN3D
GIPC2
SEMA6D
RORA
STX4
PRRC2A
CACNA1C
NTM
BNC2
ABHD17C
SSBP2
NUDT3
CELF1
DNAJC1
ZMIZ2
PURG
SBK1
C1QTNF4
SKAP1
BBS4
GCNT4
FLT3
ZNF654
WNK1
SFMBT1
ACP1
RC3H1
TMEM161B
FOSL1
RELN
NTRK2
TNNI3K
GNAT1
GLT8D1
SPOCK1
CEP120
NRXN2
CYP17A1
NTNG1
FBXL19
PPL
GPRC5B
ZBTB20
ENO4
MST1
BCKDK
BPTF
ITGAL
MUSTN1
MAPK3
CCNE1
LONRF2
GALNTL6
PINX1
ROBO2
PROS1
CACNA1D
AXIN1
TEX10
CMIP
MACF1
PRSS8
SKIV2L
SMG6
POU6F2
SLC14A2
MAST3
FDFT1
SYMPK
COPZ2
RSPH6A
GNAT2
KLF16
SRR
SYT14
SETD1A
CDH13
GNB1
ZNF789
BOLL
FIBCD1
S100PBP
RPS6KA5
NADK
SERPINC1
POM121C
TENM2
CPEB4
BAG6
KIAA1522
NPAS1
YPEL3
BEND5
JADE2
RTN4RL1
MEF2D
NEK4
ARHGAP15
CXXC5
UBQLN4
EIF5A2
MEF2C
SNX11
UBN1
PPP2R3A
ZFPM2
MSI2
HCN4
CTNNA2
TNRC6A
CACYBP
RAB27B
CDKAL1
PAX5
IL13RA1
JAKMIP3
PIK3R2
KNOP1
MIB2
REXO1
APEH
NT5DC2
CORO1A
COL16A1
CTBP2
NT5C2
MTCH2
TRPM3
C2
TOMM40
ERBB3
HMGA1
LRRC43
SLC22A12
SSBP3
BBX
KNTC1
EFNA5
ITGAX
SWI5
ALPK1
ADPGK
LDB2
FKBP5
STAB1
HIVEP2
NFE2L1
CDH22
KDM1A
MYO1E
MYO19
MAP2K2
PDE4C
SH3YL1
GPR139
CBX5
DAG1
GPR61
RARB
GTF3A
KIT
RSRC1
TBX15
PSME4
ROBO1
CCK
RABGAP1L
GNAI3
TMEM18
SOX5
BAK1
ALKBH3
EBF2
CAMTA1
PTPRD
VPS11
NBAS
ATP13A2
TTLL6
DDX19A
PGPEP1
RHOA
ZCCHC8
AKT3
ARHGEF26
SSH2
RPGRIP1L
FAM167A
RAD52
ERBB4
IGF2BP2
MLIP
CAMKMT
CGGBP1
NELFE
PTRHD1
ATF6B
UBTF
GABPB2
PTBP2
MPPED2
ZNF768
ENTPD6
SOX7
RFTN2
ITIH4
DENND1A
SCG3
SSR2
RERE
TNXB
ITPR3
APOC1
BCL7C
API5
NFAT5
HNF4G
EFCAB5
HSPA1L
MSL2
RAD54L2
FIBP
NPAS3
SNX32
CCNL1
ERI1
PPT2
JMJD1C
HSPD1
NOTCH4
CBX1
KLHL32
NLGN1
ASXL3
ASCC3
UBR2
CDC42SE1
ZNF655
ARL13B
UBE2W
CTSW
PPARG
MADD
PRSS53
MARK3
MTMR9
RALY
BCL11B
PARD3
ZBTB37
TNKS
VGLL4
FARS2
SLC22A3
ZWILCH
SOCS5
SPDYE5
SEZ6L2
NAV1
PPP1R3B
DOCK3
EIF2S2
NIM1K
ZNF664
ZBTB10
SNRPD2
AP3M1
NTHL1
ASIC2
OLA1
AMT
LPPR1
TSHZ2
SLC2A2
DNAJB2
KCNJ11
DHX36
PPP2R5C
SYNGAP1
EFEMP2
ARHGAP1
DPYD
CDH7
RASA2
GAPVD1
SCYL1
NCOR1
RPL4
SIM1
ASB3
RBFOX1
RNF19B
CALML6
PDILT
KLHL21
NEK6
RABEP1
TTC17
PABPC4
SUFU
EBF1
ARPP21
ANAPC4
LUZP1
MYPN
LACTBL1
STK24
TNFRSF14
RFT1
MAP3K3
LOXL4
URM1
SLC6A4
ESRP1
SRCAP
MAP2K1
STK19
NSRP1
VIL1
CHID1
HSD3B7
HIP1
MAP3K11
CHMP3
